Location,Title,Product Code,Chosen Location Ref,Latitude,Longitude,Image URL,Affiliate URL
Rome,"Colosseum, Roman Forum & Palatine Hill Guided Tour",15932P15,LOC-6eKJ+or5y8o99Qw0C8xWyIi8k2ebOcTMSWaA+jC2+d4=,41.889416,12.487461,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/15/c5/af/64.jpg,https://www.viator.com/tours/Rome/Rome-Colosseum-Roman-Forum-and-Palatine-Hill-Guided-Tour/d511-15932P15?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Scavi guided visit and skip line entrance to St Peters Basilica,115257P6,LOC-6eKJ+or5y8o99Qw0C8xWyNkflftrBaPsp0Ji3hK9h3A=,41.90219,12.454782,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/09/93/b5/1e.jpg,https://www.viator.com/tours/Rome/Private-2-5-Hour-Tour-of-St-Peters-Basilica-with-Popes-Tombs-and-Dome-Access/d511-115257P6?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,"Skip the line: Vatican Museums, Sistine Chapel & St Peters Tour",15932P69,LOC-6eKJ+or5y8o99Qw0C8xWyNkflftrBaPsp0Ji3hK9h3A=,41.90219,12.454782,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/15/d3/c9/8d.jpg,https://www.viator.com/tours/Rome/Vatican-Museums-Sistine-Chapel-and-St-Peters-Basilica-Guided-Tour/d511-15932P69?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,"Rome: Skip the Line Vatican, Sistine Chapel, St Peter Small Group",6718P18,LOC-6eKJ+or5y8o99Qw0C8xWyNkflftrBaPsp0Ji3hK9h3A=,41.90219,12.454782,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/73/3d/ff.jpg,https://www.viator.com/tours/Rome/Skip-the-Line-Small-Group-Tour-Vatican-Sistine-Chapel-and-St-Peters-Basilica/d511-6718P18?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,"Vatican Museums, Sistine Chapel & St. Peters Basilica Guided Tour",318614P3,LOC-6eKJ+or5y8o99Qw0C8xWyNkflftrBaPsp0Ji3hK9h3A=,41.90219,12.454782,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/15/c0/92/8f.jpg,https://www.viator.com/tours/Vatican-City/Tour-of-St-Peters-Basilica-and-the-Vatican-Museums/d60477-318614P3?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,"Skip the Line: Vatican Museum, Sistine Chapel + Optional Basilica",6700P15,LOC-6eKJ+or5y8o99Qw0C8xWyNkflftrBaPsp0Ji3hK9h3A=,41.90219,12.454782,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/3b/5c/f7.jpg,https://www.viator.com/tours/Rome/Skip-the-Line-Vatican-Museums-and-Sistine-Chapel-Entrance-Tickets/d511-6700P15?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,"Colosseum, Roman Forum & Palatine Hill Admission With Audio Guide",355083P8,LOC-6eKJ+or5y8o99Qw0C8xWyIi8k2ebOcTMSWaA+jC2+d4=,41.889416,12.487461,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/6a/d5/c0.jpg,https://www.viator.com/tours/Rome/Colosseum-Escorted-Entrance-Tickets/d511-355083P8?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,"Colosseum Arena Floor, Roman Forum & Palatine Hill Tour",15932P51,LOC-6eKJ+or5y8o99Qw0C8xWyIi8k2ebOcTMSWaA+jC2+d4=,41.889416,12.487461,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/15/c5/af/8f.jpg,https://www.viator.com/tours/Rome/Exclusive-Gladiator-Arena-The-Colosseum-Palatine-Hill-and-Roman-Forum-Tour/d511-15932P51?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,"Rome: Colosseum with Arena, Roman Forum and Palatine Guided Tour",21175P67,LOC-6eKJ+or5y8o99Qw0C8xWyIi8k2ebOcTMSWaA+jC2+d4=,41.889416,12.487461,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5c/1d/e7.jpg,https://www.viator.com/tours/Rome/Colosseum-VIP-access-with-arena-and-ancient-Rome-small-group-tour/d511-21175P67?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Colosseum & Ancient Rome with Arena Floor Option I Max 6 People,6718P19,LOC-6eKJ+or5y8o99Qw0C8xWyIi8k2ebOcTMSWaA+jC2+d4=,41.889416,12.487461,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/84/2b/e9.jpg,https://www.viator.com/tours/Rome/Colosseum-Arena-Floor-and-Ancient-Rome-Semi-Private-Max-6-People/d511-6718P19?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
